userID,year,month,date,textInput,imageInput
1,2024,5,29,갈색,./img/0jqmbf33cc2cdc128b2062edcc5f21bdb929fbc7dcfe2c0ff2fd94b484c21fxvu.jpg
1,2024,5,29,브라운,./img/0jqmbf33cc2cdc128b2062edcc5f21bdb929fbc7dcfe2c0ff2fd94b484c21fxvu.jpg
1,2024,5,29,핑크색,./img/1tkb37c1941400ebbcb79c3d238f4a9b7305f090317166025e254ea907f67v5gh.jpg
1,2024,5,30,갈색화남,./img/0jqmbf33cc2cdc128b2062edcc5f21bdb929fbc7dcfe2c0ff2fd94b484c21fxvu.jpg
1,2024,5,30,녹색옷,./img/0h1d057312e7900728373851d4b2611b2b50922987298f87ed0caf1b76c429ndq.jpg
1,2024,5,30,qf,./img/0hnaf227f554e5abd80095c19c00026b2532e68be952e7390e1d8c5382c27p7mg.jpg
1,2024,7,30,check,./img/0jsg06048a28fde3caad404f93dec397e5c579e83c1c2ced67c346c93d48dju4r.jpg
1,2024,7,30,check,./img/0jsg06048a28fde3caad404f93dec397e5c579e83c1c2ced67c346c93d48dju4r.jpg
1,2024,7,30,ff,./img/0l2p97bad5fdff430cc182d951376bd55c2760aa0083c3583166245bdaca231y7.jpg
1,2024,9,30,F,./img/0jqmbf33cc2cdc128b2062edcc5f21bdb929fbc7dcfe2c0ff2fd94b484c21fxvu.jpg
